material_name,material_type,UTS_MPa,Elongation_pct,Elastic_Mod_MPa,Shear_Mod_MPa,Density_gcm3,Thermal_Cond,Brinell_Hard,Poisson_ratio,Max_Temp_F,Embodied_Energy,Mo_max,Ni_max,Fe_max,Ti_max,N_max
"ASTM A439 Type D-2B (S-NiCr 20 3, F43001) Cast Iron",Iron Alloy,450.0,7.8,180000.0,71000.0,7.8,39.0,180.0,0.29,440.0,48.0,0.7,22.0,77.1,0.06,0.1
"ASTM A439 Type D-5 (S-Ni 35,F43006) Cast Iron",Iron Alloy,430.0,23.0,180000.0,70000.0,8.0,39.0,160.0,0.3,440.0,65.0,0.7,36.0,65.0,0.06,0.1
"ASTM A439 Type D-5B (S-NiCr 35 3, F43007) Cast Iron",Iron Alloy,430.0,6.8,180000.0,71000.0,8.0,39.0,170.0,0.3,440.0,66.0,0.7,36.0,63.0,0.06,0.1
ASTM A439 Type D-2C (F43002) Cast Iron,Iron Alloy,450.0,22.0,180000.0,70000.0,7.9,39.0,150.0,0.3,440.0,50.0,0.7,24.0,76.2,0.06,0.1
"ASTM A439 Type D-4 (S-NiSiCr 30 5 5, F43005) Cast Iron",Iron Alloy,470.0,20.0,180000.0,70000.0,7.7,39.0,240.0,0.29,440.0,64.0,0.7,32.0,62.5,0.06,0.1
SAE-ASTM Grade G4000 (F10008) Grey Cast Iron,Iron Alloy,290.0,9.6,180000.0,70000.0,7.6,41.0,240.0,0.29,440.0,21.0,0.7,5.5,94.5,0.06,0.1
SAE-ASTM Grade G3500c (F10011) Grey Cast Iron,Iron Alloy,260.0,9.6,180000.0,69000.0,7.6,41.0,230.0,0.29,440.0,21.0,0.7,5.5,94.6,0.06,0.1
SAE-ASTM Grade G3500 (F10007) Grey Cast Iron,Iron Alloy,260.0,9.6,180000.0,70000.0,7.5,41.0,230.0,0.29,440.0,21.0,0.7,5.5,94.6,0.06,0.1
SAE-ASTM Grade G3500b (F10010) Grey Cast Iron,Iron Alloy,260.0,9.6,180000.0,70000.0,7.6,41.0,230.0,0.29,440.0,21.0,0.7,5.5,94.7,0.06,0.1
ASTM A602 Grade M5503 (F20003) Cast Iron,Iron Alloy,520.0,3.0,180000.0,70000.0,7.6,41.0,210.0,0.29,440.0,20.0,0.7,5.5,96.7,0.06,0.1
ASTM A602 Grade M8501 (F20005) Cast Iron,Iron Alloy,720.0,1.0,180000.0,70000.0,7.6,41.0,290.0,0.29,440.0,20.0,0.7,5.5,96.7,0.06,0.1
ASTM A602 Grade M7002 (F20004) Cast Iron,Iron Alloy,620.0,2.0,180000.0,70000.0,7.6,41.0,250.0,0.29,440.0,20.0,0.7,5.5,96.7,0.06,0.1
ASTM A602 Grade M3210 (F20000) Cast Iron,Iron Alloy,350.0,10.0,180000.0,70000.0,7.6,41.0,130.0,0.29,440.0,20.0,0.7,5.5,96.7,0.06,0.1
ASTM A602 Grade M4504 (F20001) Cast Iron,Iron Alloy,450.0,4.0,180000.0,70000.0,7.6,41.0,190.0,0.29,440.0,20.0,0.7,5.5,96.7,0.06,0.1
ASTM Grade 80-55-06 (SAE D5506) Ductile Cast Iron,Iron Alloy,600.0,8.2,170000.0,64000.0,7.5,36.0,190.0,0.31,290.0,21.0,0.7,5.5,95.5,0.06,0.1
ASTM Grade 60-42-10 Ductile Cast Iron,Iron Alloy,470.0,11.0,180000.0,70000.0,7.5,36.0,190.0,0.29,290.0,21.0,0.7,5.5,95.5,0.06,0.1
"ASTM Grade 65-45-12 (SAE D4512, ISO 450-10) Ductile Cast Iron",Iron Alloy,490.0,13.0,170000.0,65000.0,7.1,36.0,180.0,0.29,290.0,21.0,0.7,5.5,95.5,0.06,0.1
"ASTM Grade 60-40-18 (SAE D4018, ISO 400-18, EN-JS 1025) Ductile Cast Iron",Iron Alloy,460.0,20.0,170000.0,66000.0,7.1,36.0,160.0,0.29,290.0,21.0,0.7,5.5,95.5,0.06,0.1
ASTM Grade 65-45-15 Ductile Cast Iron,Iron Alloy,500.0,17.0,180000.0,70000.0,7.5,36.0,180.0,0.29,290.0,21.0,0.7,5.5,95.5,0.06,0.1
"ASTM Grade 80-60-03 (ISO 600-3, EN-JS 1060) Ductile Cast Iron",Iron Alloy,630.0,3.3,170000.0,67000.0,7.2,33.0,230.0,0.29,290.0,21.0,0.7,5.5,95.5,0.06,0.1
"ASTM Grade 100-70-03 (SAE D7003, ISO 700-2, EN-JS 1070) Ductile Cast Iron",Iron Alloy,770.0,3.0,180000.0,68000.0,7.2,31.0,270.0,0.29,290.0,21.0,0.7,5.5,95.5,0.06,0.1
"ASTM Grade 70-50-05 (ISO 500-7, EN-JS 1050) Ductile Cast Iron",Iron Alloy,530.0,6.1,180000.0,70000.0,7.1,35.0,200.0,0.29,290.0,21.0,0.7,5.5,95.5,0.06,0.1
"ASTM Grade 120-90-02 (ISO 800-2, EN-JS 1080) Ductile Cast Iron",Iron Alloy,920.0,2.1,170000.0,66000.0,7.2,31.0,310.0,0.28,290.0,21.0,0.7,5.5,95.5,0.06,0.1
ASTM Grade 40 or 275 (F12801) Grey Cast Iron,Iron Alloy,310.0,9.6,180000.0,69000.0,7.5,46.0,230.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
ASTM Grade 60 or 400 (F14101) Grey Cast Iron,Iron Alloy,450.0,9.6,180000.0,69000.0,7.5,46.0,300.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
"ASTM Grade 35 or 250 (ISO 250, EN-JL 1040, F12401) Grey Cast Iron",Iron Alloy,250.0,9.6,180000.0,69000.0,7.5,46.0,180.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
ASTM Grade 25 or 175 (F11701) Grey Cast Iron,Iron Alloy,190.0,9.6,180000.0,69000.0,7.5,46.0,170.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
ASTM Grade 225 Grey Cast Iron,Iron Alloy,260.0,9.6,180000.0,69000.0,7.5,46.0,230.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
ASTM Grade 55 or 375 (F13801) Grey Cast Iron,Iron Alloy,430.0,9.6,180000.0,69000.0,7.5,46.0,230.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
ASTM Grade 325 Grey Cast Iron,Iron Alloy,370.0,9.6,180000.0,69000.0,7.5,46.0,230.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
"ASTM Grade 30 or 200 (ISO 200, EN-JL 1030, F12101) Grey Cast Iron",Iron Alloy,240.0,9.6,180000.0,69000.0,7.5,46.0,210.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
