material_name,material_type,UTS_MPa,Elongation_pct,Elastic_Mod_MPa,Shear_Mod_MPa,Density_gcm3,Thermal_Cond,Brinell_Hard,Poisson_ratio,Max_Temp_F,Embodied_Energy,Mo_max,Ni_max,Fe_max,Ti_max,N_max
EN 1.5408 (30MoB1) Boron Steel,Iron Alloy,460.0,20.0,190000.0,73000.0,7.8,48.0,150.0,0.29,400.0,19.0,0.12,5.5,98.8,0.06,0.1
Grade FDSiCr Spring Steel,Iron Alloy,1930.0,20.0,190000.0,80000.0,7.7,48.0,580.0,0.29,410.0,20.0,0.7,5.5,97.8,0.06,0.1
EN 1.3570 (20MnCrMo4-2) Case-Hardening Bearing Steel,Iron Alloy,490.0,20.0,190000.0,73000.0,7.8,46.0,185.0,0.29,410.0,19.0,0.2,5.5,98.9,0.06,0.1
EN 1.5415 (16Mo3) Steel,Iron Alloy,510.0,24.0,190000.0,73000.0,7.9,49.0,150.0,0.29,410.0,20.0,0.35,0.3,99.23,0.06,0.012
EN 1.7711 (40CrMoV4-6) Chromium-Molybdenum Steel,Iron Alloy,690.0,16.0,190000.0,73000.0,7.8,33.0,245.0,0.29,430.0,32.0,0.65,5.5,97.5,0.06,0.1
EN 1.5918 (17CrNi6-6) Nickel-Chromium Steel,Iron Alloy,530.0,20.0,190000.0,73000.0,7.9,43.0,175.0,0.29,440.0,21.0,0.7,1.7,96.6,0.06,0.1
EN 1.6773 (36NiCrMo16) Steel,Iron Alloy,1120.0,11.0,190000.0,73000.0,7.9,46.0,340.0,0.29,450.0,26.0,0.45,4.1,93.9,0.06,0.1
EN 1.3520 (100CrMnSi6-4) Through-Hardening Bearing Steel,Iron Alloy,620.0,20.0,190000.0,72000.0,7.8,43.0,205.0,0.29,430.0,20.0,0.1,5.5,97.2,0.06,0.1
EN 1.8509 (41CrAlMo7-10) Nitriding Steel,Iron Alloy,1130.0,11.0,190000.0,73000.0,7.8,39.0,340.0,0.29,440.0,22.0,0.35,5.5,97.1,0.06,0.1
EN 1.3566 (15CrMo4) Case-Hardening Bearing Steel,Iron Alloy,490.0,20.0,190000.0,73000.0,7.8,45.0,185.0,0.29,420.0,20.0,0.25,5.5,98.4,0.06,0.1
EN 1.3537 (100CrMo7) Through-Hardening Bearing Steel,Iron Alloy,620.0,20.0,190000.0,73000.0,7.8,43.0,205.0,0.29,440.0,21.0,0.3,5.5,97.8,0.06,0.1
EN 1.5682 (X10Ni9) Nickel Steel,Iron Alloy,770.0,21.0,190000.0,72000.0,7.9,39.0,230.0,0.29,430.0,31.0,0.1,9.5,91.1,0.06,0.1
EN 1.5023 (38Si7) Silicon Steel,Iron Alloy,570.0,20.0,190000.0,72000.0,7.7,48.0,305.0,0.29,400.0,19.0,0.7,5.5,97.7,0.06,0.1
EN 1.6932 (28NiCrMoV8-5) Nickel-Chromium Steel,Iron Alloy,900.0,14.0,190000.0,73000.0,7.9,45.0,270.0,0.29,440.0,27.0,0.55,2.1,96.4,0.06,0.1
EN 1.3532 (16NiCrMo16-5) Case-Hardening Bearing Steel,Iron Alloy,700.0,20.0,190000.0,73000.0,7.9,46.0,215.0,0.29,440.0,25.0,0.3,4.3,94.8,0.06,0.1
Grade TDCrV Spring Steel,Iron Alloy,1730.0,20.0,190000.0,80000.0,7.8,49.0,520.0,0.29,410.0,26.0,0.7,5.5,98.8,0.06,0.1
EN 1.7131 (16MnCr5) Chromium Steel,Iron Alloy,470.0,20.0,190000.0,73000.0,7.8,45.0,155.0,0.29,420.0,19.0,0.7,5.5,98.1,0.06,0.1
EN 1.5024 (46Si7) Silicon Steel,Iron Alloy,670.0,20.0,190000.0,72000.0,7.7,50.0,335.0,0.29,400.0,19.0,0.7,5.5,97.6,0.06,0.1
EN 1.5525 (20MnB4) Boron Steel,Iron Alloy,440.0,11.0,190000.0,73000.0,7.8,50.0,155.0,0.29,400.0,19.0,0.7,5.5,98.9,0.06,0.1
EN 1.7227 (42CrMoS4) Chromium-Molybdenum Steel,Iron Alloy,540.0,20.0,190000.0,73000.0,7.8,46.0,190.0,0.29,420.0,20.0,0.3,5.5,98.0,0.06,0.1
EN 1.8507 (34CrAlMo5-10) Nitriding Steel,Iron Alloy,900.0,16.0,190000.0,72000.0,7.8,41.0,270.0,0.29,430.0,21.0,0.25,5.5,97.7,0.06,0.1
EN 1.5502 (17B2) Boron Steel,Iron Alloy,400.0,12.0,190000.0,73000.0,7.8,52.0,140.0,0.29,400.0,19.0,0.7,5.5,99.249,0.06,0.1
EN 1.7218 (25CrMo4) Chromium-Molybdenum Steel,Iron Alloy,500.0,20.0,190000.0,73000.0,7.8,44.0,190.0,0.29,420.0,20.0,0.3,0.3,98.1,0.06,0.1
EN 1.8915 (P460NL1) Steel,Iron Alloy,640.0,19.0,190000.0,73000.0,7.8,46.0,190.0,0.29,400.0,24.0,0.1,0.8,98.9,0.03,0.025
EN 1.7272 (31CrMoB2-1) Boron Steel,Iron Alloy,490.0,20.0,190000.0,73000.0,7.8,45.0,190.0,0.29,410.0,19.0,0.15,5.5,98.3,0.06,0.1
EN 1.8824 (P420M) Steel,Iron Alloy,580.0,22.0,190000.0,73000.0,7.8,49.0,170.0,0.29,400.0,21.0,0.2,0.5,99.98,0.05,0.02
EN 1.7117 (52SiCrNi5) Steel,Iron Alloy,660.0,20.0,190000.0,72000.0,7.7,43.0,340.0,0.29,420.0,21.0,0.7,0.7,96.4,0.06,0.1
EN 1.7366 (X16CrMo5-1) High-Chromium Steel,Iron Alloy,460.0,17.0,190000.0,74000.0,7.8,40.0,175.0,0.29,510.0,23.0,0.65,5.5,95.3,0.06,0.1
EN 1.5501 (15B2) Boron Steel,Iron Alloy,390.0,12.0,190000.0,73000.0,7.9,52.0,135.0,0.29,400.0,18.0,0.7,5.5,99.269,0.06,0.1
EN 1.7108 (61SiCr7) Silicon-Chromium Steel,Iron Alloy,670.0,20.0,190000.0,72000.0,7.7,46.0,355.0,0.29,410.0,20.0,0.7,5.5,96.9,0.06,0.1
EN 1.3518 (100CrMnSi4-4) Through-Hardening Bearing Steel,Iron Alloy,630.0,20.0,190000.0,72000.0,7.8,43.0,190.0,0.29,420.0,20.0,0.1,5.5,97.8,0.06,0.1
EN 1.5418 (37Mo2) Molybdenum Steel,Iron Alloy,490.0,20.0,190000.0,73000.0,7.8,48.0,190.0,0.29,400.0,19.0,0.3,5.5,98.9,0.06,0.1
EN 1.8946 (S355J2WP) Weathering Steel,Iron Alloy,580.0,16.0,190000.0,73000.0,7.8,43.0,170.0,0.29,420.0,23.0,0.7,0.7,99.5,0.12,0.1
EN 1.7390 (X15CrMo5-1) High-Chromium Steel,Iron Alloy,710.0,16.0,190000.0,74000.0,7.8,40.0,210.0,0.29,510.0,23.0,0.65,5.5,95.3,0.06,0.1
EN 1.8153 (60SiCrV7) Steel,Iron Alloy,670.0,20.0,190000.0,72000.0,7.7,45.0,385.0,0.29,410.0,25.0,0.7,5.5,96.9,0.06,0.1
EN 1.7177 (60Cr3) Chromium Steel,Iron Alloy,660.0,20.0,190000.0,73000.0,7.8,47.0,340.0,0.29,420.0,19.0,0.7,5.5,98.2,0.06,0.1
EN 1.8902 (S420N) Steel,Iron Alloy,600.0,21.0,190000.0,73000.0,7.8,44.0,180.0,0.29,410.0,24.0,0.13,0.85,99.05,0.06,0.027
EN 1.8959 (S355J0W) Weathering Steel,Iron Alloy,570.0,16.0,190000.0,73000.0,7.8,39.0,170.0,0.29,420.0,21.0,0.35,0.7,99.0,0.06,0.01
EN 1.8823 (S355M) Steel,Iron Alloy,530.0,25.0,190000.0,73000.0,7.8,47.0,160.0,0.29,410.0,22.0,0.13,0.55,99.985,0.06,0.017
EN 1.7213 (25CrMoS4) Chromium-Molybdenum Steel,Iron Alloy,500.0,20.0,190000.0,73000.0,7.8,44.0,190.0,0.29,420.0,20.0,0.3,5.5,98.1,0.06,0.1
EN 1.7139 (16MnCrS5) Chromium Steel,Iron Alloy,480.0,20.0,190000.0,73000.0,7.8,44.0,165.0,0.29,420.0,19.0,0.7,5.5,98.0,0.06,0.1
EN 1.8891 (E460K2) Steel,Iron Alloy,610.0,19.0,190000.0,73000.0,7.8,46.0,180.0,0.29,400.0,24.0,0.1,0.8,99.0,0.03,0.025
EN 1.7239 (60CrMo3-1) Chromium-Molybdenum Steel,Iron Alloy,660.0,20.0,190000.0,73000.0,7.8,44.0,340.0,0.29,420.0,20.0,0.15,5.5,98.0,0.06,0.1
EN 1.8522 (33CrMoV12-9) High-Temperature Bearing Steel,Iron Alloy,730.0,20.0,190000.0,74000.0,7.8,39.0,300.0,0.29,470.0,31.0,1.2,0.3,96.0,0.06,0.1
Grade FDSiCrV Spring Steel,Iron Alloy,2100.0,20.0,190000.0,80000.0,7.7,47.0,630.0,0.29,420.0,26.0,0.7,5.5,97.8,0.06,0.1
EN 1.7323 (20MoCrS4) Chromium-Molybdenum Steel,Iron Alloy,480.0,20.0,190000.0,73000.0,7.9,45.0,165.0,0.29,410.0,20.0,0.5,5.5,98.4,0.06,0.1
EN 1.7219 (26CrMo4-2) Chromium-Molybdenum Steel,Iron Alloy,650.0,19.0,190000.0,73000.0,7.8,44.0,200.0,0.29,420.0,20.0,0.3,5.5,98.2,0.06,0.1
EN 1.8833 (P355ML2) Steel,Iron Alloy,530.0,25.0,190000.0,73000.0,7.8,49.0,160.0,0.29,400.0,21.0,0.2,0.5,99.98,0.05,0.015
EN 1.7709 (21CrMoV5-7) Steel,Iron Alloy,650.0,20.0,190000.0,73000.0,7.8,33.0,215.0,0.29,440.0,32.0,0.8,0.6,97.5,0.06,0.1
EN 1.7378 (7CrMoVTiB10-10) Chromium-Molybdenum Steel,Iron Alloy,700.0,17.0,190000.0,74000.0,7.8,39.0,210.0,0.29,460.0,33.0,1.1,5.5,96.1,0.1,0.01
EN 1.7729 (20CrMoVTiB4-10) Steel,Iron Alloy,910.0,17.0,190000.0,73000.0,7.8,40.0,270.0,0.29,430.0,49.0,1.1,0.2,97.0,0.15,0.1
EN 1.5535 (23MnB4) Boron Steel,Iron Alloy,450.0,11.0,190000.0,73000.0,7.8,50.0,155.0,0.29,400.0,19.0,0.7,5.5,98.9,0.06,0.1
EN 1.7149 (20MnCrS5) Chromium Steel,Iron Alloy,500.0,20.0,190000.0,73000.0,7.8,46.0,165.0,0.29,420.0,19.0,0.7,5.5,97.7,0.06,0.1
EN 1.5521 (18MnB4) Boron Steel,Iron Alloy,430.0,11.0,190000.0,73000.0,7.8,51.0,155.0,0.29,400.0,19.0,0.7,5.5,98.9,0.06,0.1
EN 1.8550 (34CrAlNi7-10) Nitriding Steel,Iron Alloy,1000.0,11.0,190000.0,73000.0,7.8,40.0,300.0,0.29,440.0,23.0,0.25,1.2,96.3,0.06,0.1
EN 1.5508 (23B2) Boron Steel,Iron Alloy,420.0,11.0,190000.0,73000.0,7.8,51.0,155.0,0.29,400.0,19.0,0.7,5.5,99.199,0.06,0.1
EN 1.6580 (30CrNiMo8) Steel,Iron Alloy,720.0,11.0,190000.0,73000.0,7.9,40.0,285.0,0.29,450.0,23.0,0.5,2.2,95.5,0.06,0.1
EN 1.6228 (15NiMn6) Nickel Steel,Iron Alloy,570.0,25.0,190000.0,73000.0,7.9,51.0,170.0,0.29,400.0,21.0,0.7,1.7,97.9,0.06,0.1
EN 1.7035 (41Cr4) Chromium Steel,Iron Alloy,530.0,20.0,190000.0,73000.0,7.8,46.0,225.0,0.29,420.0,19.0,0.7,5.5,98.1,0.06,0.1
EN 1.8898 (E460M) Steel,Iron Alloy,600.0,18.0,190000.0,73000.0,7.8,49.0,180.0,0.29,400.0,22.0,0.2,0.3,99.98,0.05,0.025
EN 1.5526 (30MnB4) Boron Steel,Iron Alloy,490.0,20.0,190000.0,73000.0,7.8,48.0,160.0,0.29,400.0,19.0,0.7,5.5,98.9,0.06,0.1
EN 1.3536 (100CrMo7-3) Through-Hardening Bearing Steel,Iron Alloy,660.0,20.0,190000.0,73000.0,7.8,41.0,200.0,0.29,440.0,21.0,0.35,5.5,97.4,0.06,0.1
EN 1.6217 (13MnNi6-3) Nickel Steel,Iron Alloy,550.0,24.0,190000.0,73000.0,7.8,50.0,170.0,0.29,400.0,21.0,0.7,0.85,99.0,0.06,0.1
EN 1.5701 (12NiCr3-2) Nickel-Chromium Steel,Iron Alloy,430.0,20.0,190000.0,73000.0,7.9,45.0,145.0,0.29,410.0,19.0,0.7,0.8,98.7,0.06,0.1
EN 1.7335 (13CrMo4-5) Chromium-Molybdenum  Steel,Iron Alloy,500.0,21.0,190000.0,73000.0,7.9,44.0,155.0,0.29,430.0,21.0,0.6,5.5,98.4,0.06,0.012
Grade FDC Spring Steel,Iron Alloy,1680.0,20.0,190000.0,80000.0,7.8,51.0,510.0,0.29,400.0,19.0,0.7,5.5,99.4,0.06,0.1
EN 1.7241 (60CrMo3-3) Chromium-Molybdenum Steel,Iron Alloy,660.0,20.0,190000.0,73000.0,7.8,44.0,340.0,0.29,420.0,20.0,0.35,5.5,97.8,0.06,0.1
EN 1.6511 (36CrNiMo4) Steel,Iron Alloy,990.0,12.0,190000.0,73000.0,7.8,36.0,300.0,0.29,430.0,21.0,0.3,1.2,97.2,0.06,0.1
EN 1.7380 (10CrMo9-10) Chromium-Molybdenum Steel,Iron Alloy,540.0,19.0,190000.0,74000.0,7.9,39.0,165.0,0.29,460.0,23.0,1.1,5.5,96.6,0.06,0.012
EN 1.7767 (12CrMoV12-10) Chromium-Molybdenum Steel,Iron Alloy,670.0,20.0,190000.0,74000.0,7.9,40.0,205.0,0.29,480.0,33.0,1.1,0.25,95.8,0.03,0.012
EN 1.8958 (S235J0W) Weathering Steel,Iron Alloy,430.0,19.0,190000.0,73000.0,7.9,46.0,130.0,0.29,410.0,19.0,0.7,0.7,99.3,0.06,0.01
EN 1.6523 (20NiCrMo2-2) Steel,Iron Alloy,510.0,20.0,190000.0,73000.0,7.9,39.0,170.0,0.29,410.0,20.0,0.25,0.7,98.3,0.06,0.1
EN 1.7703 (13CrMoV9-10) Chromium-Molybdenum Steel,Iron Alloy,670.0,20.0,190000.0,74000.0,7.9,39.0,205.0,0.29,460.0,35.0,1.1,0.25,96.4,0.03,0.012
EN 1.8818 (S275M) Steel,Iron Alloy,440.0,27.0,190000.0,73000.0,7.8,48.0,130.0,0.29,400.0,21.0,0.13,0.35,99.985,0.06,0.017
EN 1.5663 (X7Ni9) Nickel Steel,Iron Alloy,750.0,20.0,190000.0,73000.0,8.0,39.0,230.0,0.29,430.0,31.0,0.1,10.0,91.2,0.06,0.1
EN 1.5113 (8MnSi7) Silicon Steel,Iron Alloy,580.0,11.0,190000.0,72000.0,7.8,52.0,220.0,0.29,400.0,19.0,0.7,5.5,97.5,0.06,0.1
EN 1.5402 (15MnMoV4-5) Molybdenum Steel,Iron Alloy,580.0,23.0,190000.0,73000.0,7.9,51.0,180.0,0.29,410.0,22.0,0.6,5.5,98.7,0.06,0.1
EN 1.6587 (18CrNiMo7-6) Case-Hardening Bearing Steel,Iron Alloy,520.0,20.0,190000.0,73000.0,7.9,41.0,190.0,0.29,440.0,22.0,0.35,1.7,96.4,0.06,0.1
EN 1.7707 (30CrMoV9) Chromium Steel,Iron Alloy,1010.0,11.0,190000.0,73000.0,7.8,39.0,300.0,0.29,460.0,27.0,0.25,0.6,96.8,0.06,0.1
EN 1.5520 (17MnB4) Boron Steel,Iron Alloy,410.0,11.0,190000.0,73000.0,7.8,50.0,145.0,0.29,400.0,19.0,0.7,5.5,98.9,0.06,0.1
EN 1.8505 (32CrAlMo7-10) Nitriding Steel,Iron Alloy,1050.0,13.0,190000.0,73000.0,7.8,39.0,320.0,0.29,440.0,22.0,0.4,5.5,97.1,0.06,0.1
EN 1.7240 (60CrMo3-2) Chromium-Molybdenum Steel,Iron Alloy,670.0,20.0,190000.0,73000.0,7.8,44.0,340.0,0.29,420.0,20.0,0.25,5.5,97.9,0.06,0.1
EN 1.6571 (20NiCrMoS6-4) Steel,Iron Alloy,520.0,20.0,190000.0,73000.0,7.9,40.0,175.0,0.29,420.0,22.0,0.35,1.7,97.1,0.06,0.1
EN 1.7321 (20MoCr4) Chromium-Molybdenum Steel,Iron Alloy,490.0,20.0,190000.0,73000.0,7.9,45.0,160.0,0.29,410.0,20.0,0.5,5.5,98.4,0.06,0.1
EN 1.7076 (32CrB4) Chromium-Boron Steel,Iron Alloy,470.0,20.0,190000.0,73000.0,7.8,45.0,155.0,0.29,420.0,19.0,0.7,5.5,98.2,0.06,0.1
EN 1.8936 (P420QH) Nickel Steel,Iron Alloy,600.0,20.0,190000.0,73000.0,7.8,40.0,180.0,0.29,410.0,24.0,0.1,1.0,98.9,0.06,0.02
EN 1.7228 (50CrMo4) Chromium-Molybdenum Steel,Iron Alloy,900.0,12.0,190000.0,73000.0,7.8,46.0,270.0,0.29,420.0,20.0,0.3,5.5,98.0,0.06,0.1
EN 1.7233 (42CrMo5-6) Chromium-Molybdenum Steel,Iron Alloy,700.0,18.0,190000.0,73000.0,7.8,39.0,250.0,0.29,430.0,21.0,0.7,5.5,97.5,0.06,0.1
EN 1.5510 (28B2) Boron Steel,Iron Alloy,450.0,11.0,190000.0,73000.0,7.8,51.0,160.0,0.29,400.0,19.0,0.7,5.5,99.149,0.06,0.1
EN 1.6311 (20MnMoNi4-5) Molybdenum Steel,Iron Alloy,650.0,19.0,190000.0,73000.0,7.9,39.0,200.0,0.29,410.0,22.0,0.6,0.8,98.0,0.06,0.012
EN 1.7220 (34CrMo4) Chromium-Molybdenum Steel,Iron Alloy,520.0,20.0,190000.0,73000.0,7.8,44.0,225.0,0.29,420.0,20.0,0.3,5.5,98.1,0.06,0.1
EN 1.8523 (40CrMoV13-9) Nitriding Steel,Iron Alloy,1000.0,15.0,190000.0,74000.0,7.8,39.0,300.0,0.29,480.0,31.0,1.1,5.5,95.7,0.06,0.1
EN 1.5680 (X12Ni5) Nickel Steel,Iron Alloy,620.0,23.0,190000.0,73000.0,7.9,48.0,190.0,0.29,420.0,26.0,0.7,5.3,95.0,0.06,0.1
EN 1.5538 (37MnB5) Boron Steel,Iron Alloy,530.0,20.0,190000.0,73000.0,7.8,51.0,175.0,0.29,400.0,19.0,0.7,5.5,98.5,0.06,0.1
EN 1.7003 (38Cr2) Chromium Steel,Iron Alloy,520.0,20.0,190000.0,73000.0,7.8,46.0,175.0,0.29,410.0,19.0,0.7,5.5,98.8,0.06,0.1
EN 1.7701 (52CrMoV4) Chromium-Molybdenum Steel,Iron Alloy,670.0,20.0,190000.0,73000.0,7.8,44.0,340.0,0.29,420.0,26.0,0.3,5.5,97.7,0.06,0.1
EN 1.3519 (100CrMnSi6-6) Through-Hardening Bearing Steel,Iron Alloy,620.0,20.0,190000.0,72000.0,7.8,43.0,205.0,0.29,430.0,21.0,0.1,5.5,96.8,0.06,0.1
EN 1.8835 (P420ML1) Steel,Iron Alloy,580.0,21.0,190000.0,73000.0,7.8,49.0,180.0,0.29,400.0,21.0,0.2,0.5,99.98,0.05,0.02
EN 1.7176 (55Cr3) Chromium Steel,Iron Alloy,670.0,20.0,190000.0,73000.0,7.8,48.0,335.0,0.29,420.0,19.0,0.7,5.5,98.1,0.06,0.1
EN 1.8896 (E355M) Steel,Iron Alloy,510.0,24.0,190000.0,73000.0,7.8,49.0,150.0,0.29,400.0,21.0,0.2,0.3,99.98,0.05,0.02
EN 1.7338 (10CrMo5-5) Chromium-Molybdenum Steel,Iron Alloy,490.0,23.0,190000.0,73000.0,7.8,40.0,150.0,0.29,430.0,21.0,0.65,0.3,97.8,0.06,0.1
EN 1.8897 (E420M) Steel,Iron Alloy,560.0,20.0,190000.0,73000.0,7.8,49.0,170.0,0.29,400.0,22.0,0.2,0.3,99.98,0.05,0.02
EN 1.7016 (17Cr3) Chromium Steel,Iron Alloy,450.0,20.0,190000.0,73000.0,7.8,45.0,150.0,0.29,420.0,19.0,0.7,5.5,98.6,0.06,0.1
EN 1.7033 (34Cr4) Chromium Steel,Iron Alloy,500.0,20.0,190000.0,73000.0,7.8,45.0,195.0,0.29,420.0,19.0,0.7,5.5,98.2,0.06,0.1
EN 1.8945 (S355J0WP) Weathering Steel,Iron Alloy,580.0,16.0,190000.0,73000.0,7.8,42.0,170.0,0.29,420.0,19.0,0.7,0.7,99.5,0.06,0.01
EN 1.5522 (22MnB4) Boron Steel,Iron Alloy,450.0,11.0,190000.0,73000.0,7.8,51.0,165.0,0.29,400.0,19.0,0.7,5.5,98.9,0.06,0.1
EN 1.5507 (23MnB3) Boron Steel,Iron Alloy,450.0,20.0,190000.0,73000.0,7.8,49.0,200.0,0.29,410.0,19.0,0.7,5.5,98.7,0.06,0.1
EN 1.7243 (18CrMo4) Chromium-Molybdenum Steel,Iron Alloy,480.0,20.0,190000.0,73000.0,7.8,44.0,160.0,0.29,420.0,20.0,0.25,5.5,98.2,0.06,0.1
EN 1.5515 (38B2) Boron Steel,Iron Alloy,490.0,20.0,190000.0,72000.0,7.8,48.0,160.0,0.29,400.0,19.0,0.7,5.5,98.9,0.06,0.1
EN 1.8515 (31CrMo12) Nitriding Steel,Iron Alloy,1130.0,11.0,190000.0,74000.0,7.8,40.0,340.0,0.29,470.0,22.0,0.5,0.3,96.5,0.06,0.1
EN 1.7362 (X12CrMo5) High-Chromium Steel,Iron Alloy,510.0,21.0,190000.0,74000.0,7.8,40.0,165.0,0.29,510.0,23.0,0.65,0.3,95.2,0.06,0.012
EN 1.8825 (S420M) Steel,Iron Alloy,570.0,22.0,190000.0,73000.0,7.8,44.0,170.0,0.29,410.0,23.0,0.23,0.85,99.985,0.06,0.027
EN 1.8893 (E730K2) Steel,Iron Alloy,830.0,16.0,190000.0,73000.0,7.8,40.0,250.0,0.29,410.0,23.0,0.45,0.7,98.0,0.05,0.02
EN 1.6368 (15NiCuMoNb5-6-4) Nickel Steel,Iron Alloy,660.0,18.0,190000.0,73000.0,7.9,40.0,205.0,0.29,410.0,22.0,0.5,1.3,97.2,0.06,0.02
EN 1.3505 (100Cr6) Through-Hardening Bearing Steel,Iron Alloy,600.0,20.0,190000.0,72000.0,7.8,45.0,195.0,0.29,430.0,20.0,0.1,5.5,98.3,0.06,0.1
EN 1.3567 (20CrMo4) Case-Hardening Bearing Steel,Iron Alloy,500.0,20.0,190000.0,73000.0,7.8,45.0,185.0,0.29,420.0,20.0,0.25,5.5,98.4,0.06,0.1
Grade VDC Spring Steel,Iron Alloy,1700.0,20.0,190000.0,80000.0,7.8,51.0,510.0,0.29,400.0,19.0,0.7,5.5,99.35,0.06,0.1
EN 1.3559 (20Cr3) Case-Hardening Bearing Steel,Iron Alloy,500.0,20.0,190000.0,73000.0,7.8,45.0,165.0,0.29,420.0,19.0,0.7,5.5,98.8,0.06,0.1
EN 1.5450 (8MoB5-4) Molybdenum Steel,Iron Alloy,620.0,19.0,190000.0,73000.0,7.9,49.0,190.0,0.29,410.0,20.0,0.5,5.5,98.8,0.06,0.1
EN 1.5414 (18MnMo4-5) Molybdenum Steel,Iron Alloy,550.0,22.0,190000.0,73000.0,7.9,44.0,175.0,0.29,410.0,21.0,0.6,0.3,98.7,0.06,0.012
EN 1.6522 (20MnNiCrMo3-2) Case-Hardening Bearing Steel,Iron Alloy,500.0,20.0,190000.0,73000.0,7.8,39.0,170.0,0.29,410.0,20.0,0.25,0.7,98.5,0.06,0.1
EN 1.6582 (34CrNiMo6) Steel,Iron Alloy,620.0,20.0,190000.0,73000.0,7.8,40.0,245.0,0.29,440.0,22.0,0.3,1.7,96.5,0.06,0.1
EN 1.7027 (20Cr4) Case-Hardening Bearing Steel,Iron Alloy,490.0,20.0,190000.0,73000.0,7.8,45.0,165.0,0.29,420.0,19.0,0.7,5.5,98.5,0.06,0.1
EN 1.8062 (46SiCrMo6) Steel,Iron Alloy,660.0,20.0,190000.0,72000.0,7.7,43.0,355.0,0.29,420.0,20.0,0.3,5.5,97.1,0.06,0.1
EN 1.7715 (14MoV6-3) Molybdenum-Vanadium Steel,Iron Alloy,540.0,21.0,190000.0,73000.0,7.9,40.0,160.0,0.29,420.0,30.0,0.7,0.3,98.3,0.06,0.1
EN 1.5026 (56Si7) Silicon Steel,Iron Alloy,660.0,20.0,190000.0,72000.0,7.7,47.0,340.0,0.29,400.0,19.0,0.7,5.5,97.3,0.06,0.1
EN 1.8201 (7CrWVMoNb9-6) Chromium-Tungsten Steel,Iron Alloy,630.0,20.0,190000.0,74000.0,8.0,40.0,190.0,0.29,450.0,36.0,0.3,5.5,96.2,0.06,0.015
EN 1.6563 (41NiCrMo7-3-2) Steel,Iron Alloy,620.0,20.0,190000.0,73000.0,7.9,45.0,190.0,0.29,420.0,22.0,0.3,2.0,96.5,0.06,0.1
EN 1.8965 (S355J2W) Weathering Steel,Iron Alloy,570.0,16.0,190000.0,73000.0,7.8,39.0,170.0,0.29,420.0,25.0,0.35,0.7,99.0,0.12,0.1
EN 1.6920 (15MnCrMoNiV5-3) Chromium Steel,Iron Alloy,640.0,19.0,190000.0,73000.0,7.9,39.0,190.0,0.29,420.0,23.0,0.35,0.7,98.0,0.06,0.1
EN 1.7039 (41CrS4) Chromium Steel,Iron Alloy,530.0,20.0,190000.0,73000.0,7.8,46.0,190.0,0.29,420.0,19.0,0.7,5.5,98.1,0.06,0.1
EN 1.7201 (12CrMo4) Chromium-Molybdenum Steel,Iron Alloy,430.0,20.0,190000.0,73000.0,7.8,45.0,145.0,0.29,420.0,20.0,0.25,5.5,98.3,0.06,0.1
EN 1.8516 (24CrMo13-6) Nitriding Steel,Iron Alloy,1100.0,11.0,190000.0,74000.0,7.8,39.0,330.0,0.29,470.0,22.0,0.7,5.5,96.1,0.06,0.1
EN 1.8063 (50SiCrMo6) Steel,Iron Alloy,670.0,20.0,190000.0,72000.0,7.7,42.0,370.0,0.29,420.0,21.0,0.35,5.5,96.4,0.06,0.1
EN 1.7034 (37Cr4) Chromium Steel,Iron Alloy,510.0,20.0,190000.0,73000.0,7.8,45.0,200.0,0.29,420.0,19.0,0.7,5.5,98.2,0.06,0.1
EN 1.5537 (36MnB4) Boron Steel,Iron Alloy,520.0,20.0,190000.0,73000.0,7.8,48.0,170.0,0.29,400.0,19.0,0.7,5.5,98.9,0.06,0.1
EN 1.7244 (18CrMoS4) Chromium-Molybdenum Steel,Iron Alloy,470.0,20.0,190000.0,73000.0,7.8,44.0,160.0,0.29,420.0,20.0,0.25,5.5,98.2,0.06,0.1
EN 1.8159 (51CrV4) Chromium-Vanadium Steel,Iron Alloy,660.0,20.0,190000.0,73000.0,7.8,46.0,280.0,0.29,420.0,26.0,0.7,5.5,97.8,0.06,0.1
EN 1.3555 (13MoCrNi42-16-14) High-Temperature Bearing Steel,Iron Alloy,770.0,20.0,190000.0,75000.0,7.9,39.0,230.0,0.29,540.0,81.0,4.5,3.6,87.7,0.06,0.1
SAE-AISI 50B60 (G50601) Boron Steel,Iron Alloy,610.0,12.0,190000.0,72000.0,7.8,45.0,185.0,0.29,410.0,19.0,0.7,5.5,98.1,0.06,0.1
SAE-AISI 6150 (G61500) Chromium-Vanadium Steel,Iron Alloy,630.0,15.0,190000.0,73000.0,7.8,46.0,275.0,0.29,420.0,28.0,0.7,5.5,97.7,0.06,0.1
"SAE-AISI 9310 (1.6657,G93106) Ni-Cr-Mo Steel",Iron Alloy,820.0,17.0,190000.0,73000.0,7.9,48.0,575.0,0.29,440.0,24.0,0.15,3.5,95.2,0.06,0.1
SAE-AISI 4137 (G41370) Cr-Mo Steel,Iron Alloy,550.0,23.0,190000.0,73000.0,7.8,45.0,170.0,0.29,420.0,20.0,0.25,5.5,97.9,0.06,0.1
SAE-AISI 4147 (G41470) Cr-Mo Steel,Iron Alloy,610.0,20.0,190000.0,73000.0,7.8,44.0,180.0,0.29,420.0,20.0,0.25,5.5,97.7,0.06,0.1
